Detector,Descriptor,Selector,Img,TTC-Lidar,TTC-Cam,TTC-diff
ORB,BRIEF,SEL_NN,5,12.1873,26.5288,-14.3415
ORB,BRIEF,SEL_NN,6,7.50199,18.2578,-10.7558
ORB,BRIEF,SEL_NN,7,34.3404,39.9755,-5.63512
ORB,BRIEF,SEL_NN,8,18.7875,31.8478,-13.0603
ORB,BRIEF,SEL_NN,9,15.8894,24.3978,-8.50846
ORB,BRIEF,SEL_NN,10,13.7297,10.8056,2.92408
ORB,BRIEF,SEL_NN,11,10.4914,10.4394,0.0520031
ORB,BRIEF,SEL_NN,12,10.1,16.9024,-6.80245
ORB,BRIEF,SEL_NN,13,9.22307,10.4454,-1.22236
ORB,BRIEF,SEL_NN,14,10.9678,8.67498,2.29278
ORB,BRIEF,SEL_NN,15,8.09422,10.4363,-2.34204
ORB,BRIEF,SEL_NN,16,8.81392,13.5443,-4.73038
ORB,BRIEF,SEL_NN,17,10.2926,20.273,-9.98046
ORB,BRIEF,SEL_NN,18,8.30978,13.2439,-4.93413

ORB,BRIEF,SEL_KNN,1,12.9722,16.4544,-3.48227
ORB,BRIEF,SEL_KNN,2,12.264,-inf,inf
